EMPLID,Name,Term,Application Status,Major,Math - Majors 1st Math Course,Math - Majors 1st Math Code,Math - Math Placement Course,Math - Math Placement Code,Math - Math Placement Course Verified,Math - Math Placement Code Verified,Math - Math Placement Met,Math - Math Placement Met Long Description,Math - ESM 105 Eligible,Math - ESM 120 Eligible,College Coursework Exists,IMP - College Course,Math_Tests_Concatenate,Formula math_placement_2_calc_III_eligible,Formula math_placement_4_calc_II_eligible,Formula math_placement_8_calc_eligible,Formula math_placement_10_precalc_eligible,Formula math_score_exists,Application Math Category,College Math Status ERS,ELM Status ERS,HS Math GPA ERS,HS Math Units ERS,MAPE IA,MAPE PC,EAP,ACT Math,ACT Math SS,AP CALC AB,AP CALC BC,AP CSC P,AP STATS,IB AA,IB AI,Old SAT Math,SAT Math L1,SAT Math L2,SAT R Math Section,CLEP College Algebra,CLEP College Algebra/Trig,CLEP Trig,CLEP Precalc,CLEP Calc,Cambridge Math,MPAP Response,MPAP - Updated Date,IMP - Updated Date
0210,Finley Hernandez,Fall 2025,Confirmed Completed,Wine and Viticulture,MATH 161 - Calculus for the Life Sciences I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,,,
0211,Avery King,Fall 2025,Confirmed Completed,English,a single course in GE area B4,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,Verified: AP Calculus (AB) - 5,,4,8,10,Y,,0,A,,10,,,,,,5 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Precalculus (MATH 118 or equivalent) or higher eligibility by the July 15 deadline.,04/18/2025 12:04,04/15/2025 03:04
0212,Jordan Rivera,Fall 2025,Confirmed Completed,City and Regional Planning,MATH 118 - Precalculus Algebra,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (AB) - 2
Verified: AP Calculus (BC): AB Subscore - 1
Verified: AP Calculus (BC) - 1",,4,,,Y,,0,13,,10,,,,,,2 - Verified,1 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/29/2025 06:05,05/05/2025 06:05
0213,Rowan Smith,Fall 2025,Confirmed Completed,Microbiology,MATH 161 - Calculus for the Life Sciences I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: AP Calculus (AB) - 1,,,,10,Y,,0,4,,10,,,,,,1 - Verified,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/17/2025 02:06,06/16/2025 11:06
0214,Rowan Hall,Fall 2025,Confirmed Completed,Communication Studies,STAT 217 - Introduction to Statistical Concepts and Methods,10,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,,,,8,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/11/2025 03:06,05/15/2025 07:05
0215,Rowan Rivera,Fall 2025,Confirmed,Mathematics,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (AB) - 4
Verified: AP Computer Science (A) - 1",,4,8,,Y,,0,Z,,11,,,,,,4 - Verified,Self-Reported,,Self-Reported,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Precalculus (MATH 118 or equivalent) or higher eligibility by the July 15 deadline.,04/19/2025 02:04,04/10/2025 06:04
0216,Riley Clark,Fall 2025,Confirmed Completed,Biological Sciences,MATH 161 - Calculus for the Life Sciences I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,,,4,8,,N,,0,Z,,12,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/28/2025 04:04,04/17/2025 03:04
0217,Rowan Rivera,Fall 2025,Confirmed Completed,Liberal Studies,MATH 227 - Mathematics for Elementary Teaching I,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/16/2025 12:06,05/15/2025 11:05
0218,Jules Clark,Fall 2025,Confirmed Completed,Graphic Communication,MATH 118 - Precalculus Algebra,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,,,4,8,,N,,0,Z,,14,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/25/2025 07:05,05/25/2025 07:05
0219,Taylor Nguyen,Fall 2025,Confirmed Completed,Plant Sciences,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,Verified: AP Precalculus - 4,,,8,10,Y,,0,4,,14,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/16/2025 10:06,03/06/2025 12:03
0220,Morgan Young,Fall 2025,Confirmed Completed,Agricultural Communication,MATH 118 - Precalculus Algebra,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/19/2025 01:05,05/11/2025 02:05
0221,Morgan Nguyen,Fall 2025,Confirmed,Electrical Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Statistics - 4
Verified: AP Calculus (BC) - 4
Verified: AP Calculus (AB) - 4
Self-Reported: AP Calculus (AB) - 5",2,4,8,10,Y,,0,A,,12,,,,,,4 - Verified5 - Self-Reported,4 - Verified,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/01/2025 02:05,04/28/2025 10:04
0222,Logan Wright,Fall 2025,Confirmed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,Statistics,,,,,10,N,,0,4,,11,,,,,,,,,,,,,,,,,,,,,,,,05/26/2025 10:05
0223,Rowan Nguyen,Fall 2025,Confirmed,Electrical Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,"Verified: AP Precalculus - 2
Verified: AP Computer Science Principles - 2
Verified: AP Calculus (AB) - 1",,,,10,Y,,0,4,,9,,,,,,1 - Verified,,,,,,,,,,,,,,,,,,05/18/2025 10:05
0224,Skyler Lopez,Fall 2025,Confirmed Completed,Biological Sciences,MATH 161 - Calculus for the Life Sciences I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (AB) - 5
Verified: AP Statistics - 4
Verified: SATR Math Section Score - 710",,4,8,10,Y,,0,A,,12,,,,,,5 - Verified,,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/16/2025 08:05,07/03/2025 03:07
0225,Quinn Torres,Fall 2025,Confirmed Completed,Aerospace Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Calculus (BC) - 5
Verified: AP Statistics - 4",2,4,,10,Y,,0,A,,12,,,,,,,5 - Verified,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/06/2025 03:07,05/01/2025 11:05
0226,Jamie Lopez,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 4
Verified: AP Calculus (AB) - 4
Verified: SATR Math Section Score - 700",2,4,8,10,Y,,0,A,,12,,,,,,4 - Verified,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/21/2025 07:04,04/21/2025 07:04
0227,Taylor Clark,Fall 2025,Confirmed Completed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,,,05/14/2025 01:05
0228,Avery Scott,Fall 2025,Confirmed,Biochemistry,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,,,,8,,N,,0,Z,,8,,,,,,,,,,,,,,,,,,,,,,,,
0229,Jamie Garcia,Fall 2025,Confirmed Completed,Journalism,STAT 130 - Introduction to Statistical Reasoning OR STAT 217 - Introduction to Statistical Concepts and Methods OR STAT 218 Applied Statistics for the Life Sciences OR STAT 251 - Statistical Inference for Management I,10,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Precalculus - 3
Verified: SATR Math Section Score - 570
Verified: SATR Math Section Score - 560",,,8,10,Y,,0,Z,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/09/2025 11:07,07/07/2025 12:07
0230,Avery Martinez,Fall 2025,Confirmed Completed,Art and Design,a single course in GE area B4,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (AB) - 5
Verified: AP Precalculus - 3",,4,8,10,Y,,0,A,,8,,,,,,5 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/12/2025 02:07,06/09/2025 09:06
0231,Peyton Wright,Fall 2025,Confirmed Completed,Landscape Architecture,MATH 118 - Precalculus Algebra,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,Statistics,Verified: AP Statistics - 4,,,,10,Y,,0,A,,12,,,,,,,,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/29/2025 11:05,05/29/2025 10:05
0232,Skyler Martinez,Fall 2025,Confirmed Completed,Journalism,STAT 130 - Introduction to Statistical Reasoning OR STAT 217 - Introduction to Statistical Concepts and Methods OR STAT 218 Applied Statistics for the Life Sciences OR STAT 251 - Statistical Inference for Management I,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/04/2025 03:06,06/02/2025 08:06
0233,Jules Smith,Fall 2025,Confirmed,Mathematics,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Calculus (BC) - 4
Verified: AP Precalculus - 4",2,4,8,10,Y,,0,A,,10,,,,,,,4 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/07/2025 08:05,05/03/2025 05:05
0234,Cameron Hernandez,Fall 2025,Confirmed,Journalism,STAT 130 - Introduction to Statistical Reasoning OR STAT 217 - Introduction to Statistical Concepts and Methods OR STAT 218 Applied Statistics for the Life Sciences OR STAT 251 - Statistical Inference for Management I,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/12/2025 10:07,06/30/2025 05:06
0235,Logan Baker,Fall 2025,Confirmed,Computer Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Computer Science (A) - 5
Verified: AP Computer Science Principles - 5",2,4,8,10,Y,,0,A,,12,,,,,,,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/13/2025 06:07,05/21/2025 10:05
0236,Jules Davis,Fall 2025,Confirmed Completed,Philosophy,a single course in GE area B4,10,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,Y,,,,,,,N,,0,15,,12,Verified,,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/03/2025 01:06,05/13/2025 02:05
0237,Peyton Young,Fall 2025,Confirmed,Political Science,STAT 217 - Introduction to Statistical Concepts and Methods,10,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,Self-Reported: AP Computer Science Principles - 4,,,8,10,Y,,0,4,,14,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/13/2025 10:07,03/21/2025 09:03
0238,Jordan Young,Fall 2025,Confirmed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,Precalculus,,,,8,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/05/2025 08:05,06/23/2025 02:06
0239,Jordan Torres,Fall 2025,Confirmed Completed,Industrial Technology and Packaging,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,,Verified: SATR Math Section Score - 630,,,8,10,Y,,0,S,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/16/2025 01:05,05/14/2025 04:05
0240,Rowan Lopez,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,,,,8,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/16/2025 04:05,05/16/2025 04:05
0241,Morgan Hernandez,Fall 2025,Confirmed Completed,Liberal Studies,MATH 227 - Mathematics for Elementary Teaching I,10,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,,,,,,,,N,,0,17,,10,,,,,,,,,,,,,,,,,,,,,,I will take MATH 115 Stretch Precalculus Algebra I in the fall and understand that this decision may affect my coursework progress.,06/17/2025 01:06,05/15/2025 01:05
0242,Peyton Baker,Fall 2025,Confirmed Completed,Environmental Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Computer Science Principles - 5
Verified: AP Statistics - 4
Verified: AP Calculus (AB) - 4",,4,8,10,Y,,0,A,,10,,,,,,4 - Verified,,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/27/2025 10:05,05/04/2025 05:05
0243,Alex Martinez,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (BC): AB Subscore - 4
Verified: AP Calculus (BC) - 4
Verified: AP Calculus (AB) - 4
Verified: AP Computer Science (A) - 3
Verified: AP Computer Science Principles - 3",2,4,,10,Y,,0,A,,12,,,,,,4 - Verified,4 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/07/2025 12:07,03/26/2025 10:03
0244,Skyler Nguyen,Fall 2025,Confirmed Completed,Plant Sciences,Calculus Ready with MATH 118 - Precalculus Algebra,8,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,Y,,,,,,,N,,0,0,,8,,,,,,,,,,,,,,,,,,,,,,,,05/30/2025 12:05
0245,Skyler Lee,Fall 2025,Confirmed,Plant Sciences,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,Verified: AP Calculus (AB) - 3,,4,,10,Y,,0,A,,8,,,,,,3 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/01/2025 11:05,04/02/2025 12:04
0246,Jamie Nguyen,Fall 2025,Confirmed,Communication Studies,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,Verified: AP Statistics - 1,,,,10,Y,,0,4,,8,,,,,,,,,1 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/24/2025 01:04,04/24/2025 01:04
0247,Dakota Torres,Fall 2025,Confirmed,Mechanical Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Precalculus - 5
Verified: AP Calculus (AB) - 4
Verified: AP Statistics - 2",,4,8,10,Y,,0,A,,12,,,,,,4 - Verified,,,2 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/27/2025 11:06,06/03/2025 01:06
0248,Quinn Lee,Fall 2025,Confirmed,Computer Engineering,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,,,"Verified: SATR Math Section Score - 640
Verified: SATR Math Section Score - 690",,,8,10,Y,,0,S,,12,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/17/2025 09:06,06/17/2025 09:06
0249,Peyton Martinez,Fall 2025,Confirmed Completed,Computer Engineering,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,,,,,8,,N,,0,Z,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/10/2025 05:06,04/07/2025 07:04
0250,Jamie Johnson,Fall 2025,Confirmed,Software Engineering,MATH 141 - Calculus I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,College Algebra,,,,8,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Precalculus (MATH 118 or equivalent) or higher eligibility by the July 15 deadline.,04/17/2025 09:04,04/17/2025 09:04
0251,Rowan Nguyen,Fall 2025,Confirmed,Psychology,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,"Verified: AP Computer Science Principles - 4
Verified: AP Statistics - 3
Verified: AP Calculus (BC): AB Subscore - 2
Verified: AP Calculus (BC) - 2",,,,10,Y,,0,A,,8,,,,,,,2 - Verified,,3 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/03/2025 04:07,05/28/2025 11:05
0252,Peyton Rivera,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (BC): AB Subscore - 3
Verified: AP Computer Science Principles - 3
Verified: AP Calculus (BC) - 2
Verified: AP Computer Science (A) - 2
Verified: AP Calculus (AB) - 2",,4,,10,Y,,0,A,,14,,,,,,2 - Verified,2 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/02/2025 10:07,04/14/2025 04:04
0253,Jules Martinez,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (BC): AB Subscore - 4
Verified: AP Calculus (BC) - 4
Verified: AP Calculus (AB) - 4",2,4,8,10,Y,,0,A,,8,,,,,,4 - Verified,4 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/31/2025 01:05,03/05/2025 10:03
0254,Alex Wright,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,Verified: AP Calculus (AB) - 2,,,,10,Y,,0,4,,12,,,,,,2 - Verified,,,,,,,,,,,,,,,,,,
0255,Finley Lopez,Fall 2025,Confirmed Completed,Mechanical Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: AP Calculus (AB) - 1,,,,10,Y,,0,X,,10,,Verified,,,,1 - Verified,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/10/2025 10:06,05/15/2025 04:05
0256,Riley Wright,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,Self-Reported: AP Calculus (AB) - 5,,4,,10,Y,,0,4,,14,,,,,,5 - Self-Reported,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/20/2025 01:05,05/14/2025 10:05
0257,Elliot Brown,Fall 2025,Confirmed Completed,Kinesiology,Calculus Ready with MATH 119 - Precalculus Trigonometry,8,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,,,,,,,,N,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
0258,Riley Allen,Fall 2025,Confirmed Completed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,Verified: AP Calculus (AB) - 2,,4,,10,Y,,0,4,,10,,,,,,2 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/26/2025 12:04,03/19/2025 01:03
0259,Cameron Garcia,Fall 2025,Confirmed Completed,Forest and Fire Sciences,MATH 161 - Calculus for the Life Sciences I OR MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,,,4,8,,N,,0,Z,,12,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/24/2025 11:04,05/01/2025 01:05
0260,Casey Lee,Fall 2025,Confirmed Completed,Mechanical Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Precalculus - 5
Self-Reported: AP Precalculus - 5",2,4,8,10,Y,,0,4,,8,,,,,,,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/14/2025 04:07,05/18/2025 04:05
0261,Logan King,Fall 2025,Confirmed Completed,Architectural Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Calculus (BC) - 5
Verified: AP Calculus (AB) - 3",2,4,8,10,Y,,0,A,,10,,,,,,3 - Verified,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/25/2025 10:06,05/30/2025 11:05
0262,Reese Johnson,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (BC) - 3
Verified: AP Calculus (BC): AB Subscore - 3",2,4,8,,Y,,0,Z,,8,,,,,,,3 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/19/2025 01:05,05/16/2025 11:05
